complexity_metric,ml_metric,correlation,p_value,abs_correlation
CM,mean_accuracy,-0.8712160472792659,3.0334044398971636e-08,0.8712160472792659
R,mean_accuracy,-0.8712160472792658,3.0334044398971636e-08,0.8712160472792658
D3,mean_accuracy,-0.8712160472792658,3.0334044398971636e-08,0.8712160472792658
F1,mean_accuracy,-0.8660482765945119,4.5602157454528025e-08,0.8660482765945119
F3,mean_accuracy,-0.8649248235112483,4.971789045847097e-08,0.8649248235112483
N3,mean_accuracy,-0.861223390929825,6.574098071623306e-08,0.861223390929825
F2,mean_accuracy,-0.837130319108915,3.398984496752033e-07,0.837130319108915
LSC,mean_accuracy,-0.8173241025997209,1.0890504564269975e-06,0.8173241025997209
F1v,mean_accuracy,-0.8096502149717846,1.6483158193463817e-06,0.8096502149717846
CM,best_f1,-0.9991800675804143,3.864127704628408e-32,0.9991800675804143
R,best_f1,-0.9991800675804142,3.8641277046399143e-32,0.9991800675804142
D3,best_f1,-0.9991800675804142,3.8641277046399143e-32,0.9991800675804142
N3,best_f1,-0.9989891716646426,3.859794466322783e-31,0.9989891716646426
Borderline,best_f1,-0.9971870744178054,2.966629530325966e-26,0.9971870744178054
N1,best_f1,-0.9960122434282365,1.371499768390417e-24,0.9960122434282365
kDN,best_f1,-0.9945497893514221,4.2345759115344125e-23,0.9945497893514221
ONB,best_f1,-0.986721436679574,7.332977649844714e-19,0.986721436679574
Clust,best_f1,-0.9858018034299301,1.525253431492416e-18,0.9858018034299301
D. Over.,best_f1,-0.9842963483047253,4.5895297616421316e-18,0.9842963483047253
N2,best_f1,-0.9332654803254004,2.9526272047353286e-11,0.9332654803254004
F4,best_f1,-0.707917554031821,0.0001088811002264593,0.707917554031821
N4,best_f1,-0.6680069153848482,0.00036086572451748917,0.6680069153848482
F3,best_f1,-0.6466988921205091,0.0006382251703610363,0.6466988921205091
LSC,best_f1,-0.6393270883978703,0.0007697832720939,0.6393270883978703
F1,best_f1,-0.5226861738088403,0.008780958338864766,0.5226861738088403
F2,best_f1,-0.50303480664247,0.0122257300237596,0.50303480664247
F1v,best_f1,-0.431174890587286,0.03541165729642243,0.431174890587286
N4,mean_f1,-0.9392315885899949,1.0839724504067369e-11,0.9392315885899949
N2,mean_f1,-0.9190293077106443,2.3157784676362068e-10,0.9190293077106443
F4,mean_f1,-0.9185588001174398,2.462669790048907e-10,0.9185588001174398
Clust,mean_f1,-0.909773096156933,7.288910160416311e-10,0.909773096156933
ONB,mean_f1,-0.9084603822491507,8.490777158659304e-10,0.9084603822491507
D. Over.,mean_f1,-0.8901686238297901,5.7702053215328065e-09,0.8901686238297901
Borderline,mean_f1,-0.8847226599656253,9.57186379301514e-09,0.8847226599656253
N1,mean_f1,-0.8841697013561111,1.0062346093073662e-08,0.8841697013561111
kDN,mean_f1,-0.8803374964180763,1.4130663216015351e-08,0.8803374964180763
D3,mean_f1,-0.869425900983787,3.500310235034394e-08,0.869425900983787
R,mean_f1,-0.869425900983787,3.500310235034394e-08,0.869425900983787
CM,mean_f1,-0.869425900983787,3.500310235034394e-08,0.869425900983787
F1,mean_f1,-0.867871071942989,3.957105060590854e-08,0.867871071942989
F3,mean_f1,-0.8657067895761692,4.681959793736181e-08,0.8657067895761692
N3,mean_f1,-0.8593994490509139,7.522357846647258e-08,0.8593994490509139
F2,mean_f1,-0.8397676120484792,2.87737913623685e-07,0.8397676120484792
LSC,mean_f1,-0.8165593305466017,1.1359400113101722e-06,0.8165593305466017
F1v,mean_f1,-0.812062480394183,1.449885970587668e-06,0.812062480394183
CM,best_precision,-0.9990811104735993,1.3526707345393887e-31,0.9990811104735993
R,best_precision,-0.9990811104735992,1.3526707345429834e-31,0.9990811104735992
D3,best_precision,-0.9990811104735992,1.3526707345429834e-31,0.9990811104735992
N3,best_precision,-0.998824244698466,2.0336239841976725e-30,0.998824244698466
Borderline,best_precision,-0.997331073001457,1.66537967088887e-26,0.997331073001457
N1,best_precision,-0.9961079957382544,1.0502144831252423e-24,0.9961079957382544
kDN,best_precision,-0.9947442395921126,2.8421228922348033e-23,0.9947442395921126
ONB,best_precision,-0.9868820978532159,6.418717477118812e-19,0.9868820978532159
Clust,best_precision,-0.9860508962351668,1.2568549823055537e-18,0.9860508962351668
D. Over.,best_precision,-0.984663112665526,3.544911852879825e-18,0.984663112665526
N2,best_precision,-0.9333237388577698,2.925200835120754e-11,0.9333237388577698
F4,best_precision,-0.7086723471654357,0.0001062440342378269,0.7086723471654357
N4,best_precision,-0.6681718028047844,0.00035921448309762246,0.6681718028047844
F3,best_precision,-0.6474570356389828,0.0006258684570449993,0.6474570356389828
LSC,best_precision,-0.6400031962251809,0.0007568159137494943,0.6400031962251809
F1,best_precision,-0.5228197308717795,0.008760652924794488,0.5228197308717795
F2,best_precision,-0.5034274279157233,0.012147388222286207,0.5034274279157233
F1v,best_precision,-0.4307894080003891,0.03559439323726628,0.4307894080003891
N4,mean_precision,-0.9340138474500405,2.617379813396897e-11,0.9340138474500405
N2,mean_precision,-0.92616772951573,8.679502625994061e-11,0.92616772951573
Clust,mean_precision,-0.916819140132118,3.0816880841557887e-10,0.916819140132118
ONB,mean_precision,-0.9155329516918371,3.626071437080631e-10,0.9155329516918371
F4,mean_precision,-0.9104969011189559,6.693959713721483e-10,0.9104969011189559
D. Over.,mean_precision,-0.8975973096958878,2.7676714856079928e-09,0.8975973096958878
Borderline,mean_precision,-0.8923792200383164,4.663076613314679e-09,0.8923792200383164
N1,mean_precision,-0.8916253415814868,5.017034183237308e-09,0.8916253415814868
kDN,mean_precision,-0.887989769198775,7.087328119219985e-09,0.887989769198775
R,mean_precision,-0.8772215426151423,1.8468295644768787e-08,0.8772215426151423
CM,mean_precision,-0.8772215426151423,1.8468295644768787e-08,0.8772215426151423
D3,mean_precision,-0.8772215426151422,1.8468295644768787e-08,0.8772215426151422
N3,mean_precision,-0.8673746380908899,4.113823693661009e-08,0.8673746380908899
F1,mean_precision,-0.8588709773000873,7.819109464257244e-08,0.8588709773000873
F3,mean_precision,-0.8586857356805256,7.925584435324267e-08,0.8586857356805256
F2,mean_precision,-0.8272731251405945,6.179252237585821e-07,0.8272731251405945
LSC,mean_precision,-0.816217455266036,1.157476681969941e-06,0.816217455266036
F1v,mean_precision,-0.8022752545668022,2.4134408442564502e-06,0.8022752545668022
CM,best_recall,-0.9991896554018539,3.395307201451022e-32,0.9991896554018539
R,best_recall,-0.9991896554018538,3.395307201461252e-32,0.9991896554018538
D3,best_recall,-0.9991896554018538,3.395307201461252e-32,0.9991896554018538
N3,best_recall,-0.9989821873478414,4.163370735879969e-31,0.9989821873478414
Borderline,best_recall,-0.9972565982837744,2.2534330755949094e-26,0.9972565982837744
N1,best_recall,-0.9961105830102133,1.0425727265502776e-24,0.9961105830102133
kDN,best_recall,-0.9946976511945013,3.131194084397071e-23,0.9946976511945013
ONB,best_recall,-0.9868343504155069,6.678972146239193e-19,0.9868343504155069
Clust,best_recall,-0.9859296218863093,1.3816448115657545e-18,0.9859296218863093
D. Over.,best_recall,-0.9845224116181867,3.916969845222506e-18,0.9845224116181867
N2,best_recall,-0.9333996051440222,2.8898303778768017e-11,0.9333996051440222
F4,best_recall,-0.7082660485602525,0.00010765651105435044,0.7082660485602525
N4,best_recall,-0.66807763475102,0.0003601567107573112,0.66807763475102
F3,best_recall,-0.6471691484717128,0.0006305360797450968,0.6471691484717128
LSC,best_recall,-0.639855544346672,0.0007596316079366795,0.639855544346672
F1,best_recall,-0.5227214763827583,0.008775587300762572,0.5227214763827583
F2,best_recall,-0.5030590918835708,0.0122208722260224,0.5030590918835708
F1v,best_recall,-0.43095483640697624,0.03551588144818089,0.43095483640697624
N4,mean_recall,-0.9383091526903693,1.273808261510339e-11,0.9383091526903693
N2,mean_recall,-0.9206762608732457,1.8617452059696396e-10,0.9206762608732457
F4,mean_recall,-0.9173146664262082,2.892458596338125e-10,0.9173146664262082
Clust,mean_recall,-0.9114888239176455,5.949713660466153e-10,0.9114888239176455
ONB,mean_recall,-0.9101689337263896,6.957889952970655e-10,0.9101689337263896
D. Over.,mean_recall,-0.891909253180688,4.880992168780464e-09,0.891909253180688
Borderline,mean_recall,-0.8864442078023851,8.179335822348726e-09,0.8864442078023851
N1,mean_recall,-0.8858931396093361,8.603837784016586e-09,0.8858931396093361
kDN,mean_recall,-0.8821295006390457,1.2073618250786532e-08,0.8821295006390457
CM,mean_recall,-0.8712160472792659,3.0334044398971636e-08,0.8712160472792659
R,mean_recall,-0.8712160472792658,3.0334044398971636e-08,0.8712160472792658
D3,mean_recall,-0.8712160472792658,3.0334044398971636e-08,0.8712160472792658
F1,mean_recall,-0.8660482765945119,4.5602157454528025e-08,0.8660482765945119
F3,mean_recall,-0.8649248235112483,4.971789045847097e-08,0.8649248235112483
N3,mean_recall,-0.861223390929825,6.574098071623306e-08,0.861223390929825
F2,mean_recall,-0.837130319108915,3.398984496752033e-07,0.837130319108915
LSC,mean_recall,-0.8173241025997209,1.0890504564269975e-06,0.8173241025997209
F1v,mean_recall,-0.8096502149717846,1.6483158193463817e-06,0.8096502149717846
CM,best_balanced_accuracy,-0.9991896554018538,3.395307201461252e-32,0.9991896554018538
R,best_balanced_accuracy,-0.9991896554018537,3.395307201471483e-32,0.9991896554018537
D3,best_balanced_accuracy,-0.9991896554018537,3.395307201471483e-32,0.9991896554018537
N3,best_balanced_accuracy,-0.9989821873478413,4.163370735889952e-31,0.9989821873478413
Borderline,best_balanced_accuracy,-0.9972565982837744,2.2534330755949094e-26,0.9972565982837744
N1,best_balanced_accuracy,-0.996110583010213,1.042572726550931e-24,0.996110583010213
kDN,best_balanced_accuracy,-0.9946976511945012,3.1311940843985114e-23,0.9946976511945012
ONB,best_balanced_accuracy,-0.9868343504155068,6.678972146239193e-19,0.9868343504155068
Clust,best_balanced_accuracy,-0.9859296218863092,1.3816448115657545e-18,0.9859296218863092
D. Over.,best_balanced_accuracy,-0.9845224116181868,3.916969845222506e-18,0.9845224116181868
N2,best_balanced_accuracy,-0.9333996051440221,2.8898303778768017e-11,0.9333996051440221
F4,best_balanced_accuracy,-0.7082660485602525,0.00010765651105435044,0.7082660485602525
N4,best_balanced_accuracy,-0.66807763475102,0.0003601567107573112,0.66807763475102
F3,best_balanced_accuracy,-0.6471691484717126,0.0006305360797451002,0.6471691484717126
LSC,best_balanced_accuracy,-0.639855544346672,0.0007596316079366795,0.639855544346672
F1,best_balanced_accuracy,-0.5227214763827583,0.008775587300762572,0.5227214763827583
F2,best_balanced_accuracy,-0.5030590918835708,0.0122208722260224,0.5030590918835708
F1v,best_balanced_accuracy,-0.4309548364069763,0.03551588144818077,0.4309548364069763
N4,mean_balanced_accuracy,-0.9383091526903693,1.273808261510339e-11,0.9383091526903693
N2,mean_balanced_accuracy,-0.9206762608732457,1.8617452059696396e-10,0.9206762608732457
F4,mean_balanced_accuracy,-0.9173146664262082,2.892458596338125e-10,0.9173146664262082
Clust,mean_balanced_accuracy,-0.9114888239176455,5.949713660466153e-10,0.9114888239176455
ONB,mean_balanced_accuracy,-0.9101689337263896,6.957889952970655e-10,0.9101689337263896
D. Over.,mean_balanced_accuracy,-0.891909253180688,4.880992168780464e-09,0.891909253180688
Borderline,mean_balanced_accuracy,-0.8864442078023851,8.179335822348726e-09,0.8864442078023851
N1,mean_balanced_accuracy,-0.8858931396093361,8.603837784016586e-09,0.8858931396093361
kDN,mean_balanced_accuracy,-0.8821295006390457,1.2073618250786532e-08,0.8821295006390457
CM,mean_balanced_accuracy,-0.8712160472792659,3.0334044398971636e-08,0.8712160472792659
R,mean_balanced_accuracy,-0.8712160472792658,3.0334044398971636e-08,0.8712160472792658
D3,mean_balanced_accuracy,-0.8712160472792658,3.0334044398971636e-08,0.8712160472792658
F1,mean_balanced_accuracy,-0.8660482765945119,4.5602157454528025e-08,0.8660482765945119
F3,mean_balanced_accuracy,-0.8649248235112483,4.971789045847097e-08,0.8649248235112483
N3,mean_balanced_accuracy,-0.861223390929825,6.574098071623306e-08,0.861223390929825
F2,mean_balanced_accuracy,-0.837130319108915,3.398984496752033e-07,0.837130319108915
LSC,mean_balanced_accuracy,-0.8173241025997209,1.0890504564269975e-06,0.8173241025997209
F1v,mean_balanced_accuracy,-0.8096502149717846,1.6483158193463817e-06,0.8096502149717846
F1v,LogisticRegression_accuracy,-0.9922984253558712,1.8799422521619288e-21,0.9922984253558712
F1,LogisticRegression_accuracy,-0.9764492306427579,3.8200108676698926e-16,0.9764492306427579
F2,LogisticRegression_accuracy,-0.959422515495774,1.4021040984991267e-13,0.959422515495774
N4,LogisticRegression_accuracy,-0.9450012767581485,3.717207345618672e-12,0.9450012767581485
F4,LogisticRegression_accuracy,-0.8629537621444265,5.775039632076506e-08,0.8629537621444265
F3,LogisticRegression_accuracy,-0.8171190528650586,1.1014500328165859e-06,0.8171190528650586
LSC,LogisticRegression_accuracy,-0.7197076090019382,7.358839170701608e-05,0.7197076090019382
N2,LogisticRegression_accuracy,-0.6227200545707844,0.001154290875143073,0.6227200545707844
Clust,LogisticRegression_accuracy,-0.555668266699588,0.0048159180208851285,0.555668266699588
ONB,LogisticRegression_accuracy,-0.553098878194204,0.0050576119339629565,0.553098878194204
D. Over.,LogisticRegression_accuracy,-0.5227865409350754,0.008765695330611636,0.5227865409350754
Borderline,LogisticRegression_accuracy,-0.5031346521306448,0.012205768004985452,0.5031346521306448
N1,LogisticRegression_accuracy,-0.5020027540596783,0.012433646244548461,0.5020027540596783
kDN,LogisticRegression_accuracy,-0.49597444682719216,0.013707031082649472,0.49597444682719216
CM,LogisticRegression_accuracy,-0.4739710426230431,0.019294723039147896,0.4739710426230431
D3,LogisticRegression_accuracy,-0.4739710426230431,0.019294723039147896,0.4739710426230431
R,LogisticRegression_accuracy,-0.4739710426230431,0.019294723039147896,0.4739710426230431
N3,LogisticRegression_accuracy,-0.45750886150443826,0.02458283249447978,0.45750886150443826
F1v,LogisticRegression_f1,-0.9924512841584203,1.5089637571790717e-21,0.9924512841584203
F1,LogisticRegression_f1,-0.9762142880064559,4.2561190605605862e-16,0.9762142880064559
F2,LogisticRegression_f1,-0.9590419090945593,1.5509922120806324e-13,0.9590419090945593
N4,LogisticRegression_f1,-0.9447507010970151,3.903208498227024e-12,0.9447507010970151
F4,LogisticRegression_f1,-0.8622927411059704,6.069378403711122e-08,0.8622927411059704
F3,LogisticRegression_f1,-0.8163878873610109,1.1466951359327768e-06,0.8163878873610109
LSC,LogisticRegression_f1,-0.7191598442550341,7.497203831032461e-05,0.7191598442550341
N2,LogisticRegression_f1,-0.6228332788746549,0.0011511953759210988,0.6228332788746549
Clust,LogisticRegression_f1,-0.5555592878639322,0.004825968431576356,0.5555592878639322
ONB,LogisticRegression_f1,-0.5530060525421465,0.005066530862956002,0.5530060525421465
D. Over.,LogisticRegression_f1,-0.5227736062513199,0.008767661094235542,0.5227736062513199
Borderline,LogisticRegression_f1,-0.5031052794781682,0.012211637665698709,0.5031052794781682
N1,LogisticRegression_f1,-0.5019421864140154,0.012445937941973573,0.5019421864140154
kDN,LogisticRegression_f1,-0.49591276884653934,0.01372059207832362,0.49591276884653934
CM,LogisticRegression_f1,-0.4738788793990083,0.019321515111397236,0.4738788793990083
D3,LogisticRegression_f1,-0.4738788793990083,0.019321515111397236,0.4738788793990083
R,LogisticRegression_f1,-0.4738788793990083,0.019321515111397236,0.4738788793990083
N3,LogisticRegression_f1,-0.45741566377377163,0.024615785572723203,0.45741566377377163
F1v,LogisticRegression_precision,-0.9928182349029553,8.736768976340469e-22,0.9928182349029553
F1,LogisticRegression_precision,-0.9758458876077991,5.031494911384935e-16,0.9758458876077991
F2,LogisticRegression_precision,-0.9590766282150359,1.5368401579590678e-13,0.9590766282150359
N4,LogisticRegression_precision,-0.9440668881676124,4.454425803136039e-12,0.9440668881676124
F4,LogisticRegression_precision,-0.861744619183371,6.32356930323096e-08,0.861744619183371
F3,LogisticRegression_precision,-0.8154736888014861,1.2055923089038659e-06,0.8154736888014861
LSC,LogisticRegression_precision,-0.7175774276738169,7.90982013629329e-05,0.7175774276738169
N2,LogisticRegression_precision,-0.6222822734311357,0.001166326883906171,0.6222822734311357
Clust,LogisticRegression_precision,-0.5548544328639973,0.004891399193538554,0.5548544328639973
ONB,LogisticRegression_precision,-0.5523617088977834,0.005128805744004657,0.5523617088977834
D. Over.,LogisticRegression_precision,-0.5221913766674371,0.00885652578667406,0.5221913766674371
Borderline,LogisticRegression_precision,-0.5024878253491298,0.012335564908105438,0.5024878253491298
N1,LogisticRegression_precision,-0.5013229360987753,0.012572184187350883,0.5013229360987753
kDN,LogisticRegression_precision,-0.495281082429997,0.013860114269501737,0.495281082429997
CM,LogisticRegression_precision,-0.4732193734762884,0.019514117729064088,0.4732193734762884
D3,LogisticRegression_precision,-0.4732193734762884,0.019514117729064088,0.4732193734762884
R,LogisticRegression_precision,-0.4732193734762884,0.019514117729064088,0.4732193734762884
N3,LogisticRegression_precision,-0.45674283721660336,0.024854741590229882,0.45674283721660336
F1v,LogisticRegression_recall,-0.9922984253558712,1.8799422521619288e-21,0.9922984253558712
F1,LogisticRegression_recall,-0.9764492306427579,3.8200108676698926e-16,0.9764492306427579
F2,LogisticRegression_recall,-0.959422515495774,1.4021040984991267e-13,0.959422515495774
N4,LogisticRegression_recall,-0.9450012767581485,3.717207345618672e-12,0.9450012767581485
F4,LogisticRegression_recall,-0.8629537621444265,5.775039632076506e-08,0.8629537621444265
F3,LogisticRegression_recall,-0.8171190528650586,1.1014500328165859e-06,0.8171190528650586
LSC,LogisticRegression_recall,-0.7197076090019382,7.358839170701608e-05,0.7197076090019382
N2,LogisticRegression_recall,-0.6227200545707844,0.001154290875143073,0.6227200545707844
Clust,LogisticRegression_recall,-0.555668266699588,0.0048159180208851285,0.555668266699588
ONB,LogisticRegression_recall,-0.553098878194204,0.0050576119339629565,0.553098878194204
D. Over.,LogisticRegression_recall,-0.5227865409350754,0.008765695330611636,0.5227865409350754
Borderline,LogisticRegression_recall,-0.5031346521306448,0.012205768004985452,0.5031346521306448
N1,LogisticRegression_recall,-0.5020027540596783,0.012433646244548461,0.5020027540596783
kDN,LogisticRegression_recall,-0.49597444682719216,0.013707031082649472,0.49597444682719216
CM,LogisticRegression_recall,-0.4739710426230431,0.019294723039147896,0.4739710426230431
D3,LogisticRegression_recall,-0.4739710426230431,0.019294723039147896,0.4739710426230431
R,LogisticRegression_recall,-0.4739710426230431,0.019294723039147896,0.4739710426230431
N3,LogisticRegression_recall,-0.45750886150443826,0.02458283249447978,0.45750886150443826
F1v,LogisticRegression_balanced_accuracy,-0.9922984253558712,1.8799422521619288e-21,0.9922984253558712
F1,LogisticRegression_balanced_accuracy,-0.9764492306427579,3.8200108676698926e-16,0.9764492306427579
F2,LogisticRegression_balanced_accuracy,-0.9594225154957738,1.4021040984992082e-13,0.9594225154957738
N4,LogisticRegression_balanced_accuracy,-0.9450012767581485,3.717207345618672e-12,0.9450012767581485
F4,LogisticRegression_balanced_accuracy,-0.8629537621444265,5.775039632076506e-08,0.8629537621444265
F3,LogisticRegression_balanced_accuracy,-0.8171190528650585,1.1014500328165859e-06,0.8171190528650585
LSC,LogisticRegression_balanced_accuracy,-0.7197076090019381,7.358839170701665e-05,0.7197076090019381
N2,LogisticRegression_balanced_accuracy,-0.6227200545707844,0.001154290875143073,0.6227200545707844
Clust,LogisticRegression_balanced_accuracy,-0.5556682666995879,0.0048159180208851285,0.5556682666995879
ONB,LogisticRegression_balanced_accuracy,-0.5530988781942039,0.0050576119339629565,0.5530988781942039
D. Over.,LogisticRegression_balanced_accuracy,-0.5227865409350753,0.008765695330611636,0.5227865409350753
Borderline,LogisticRegression_balanced_accuracy,-0.5031346521306448,0.012205768004985452,0.5031346521306448
N1,LogisticRegression_balanced_accuracy,-0.5020027540596783,0.012433646244548461,0.5020027540596783
kDN,LogisticRegression_balanced_accuracy,-0.49597444682719216,0.013707031082649472,0.49597444682719216
CM,LogisticRegression_balanced_accuracy,-0.47397104262304307,0.019294723039147896,0.47397104262304307
D3,LogisticRegression_balanced_accuracy,-0.47397104262304307,0.019294723039147896,0.47397104262304307
R,LogisticRegression_balanced_accuracy,-0.47397104262304307,0.019294723039147896,0.47397104262304307
N3,LogisticRegression_balanced_accuracy,-0.45750886150443826,0.02458283249447978,0.45750886150443826
CM,KNN-5_accuracy,-0.9991840540465448,3.662486968659093e-32,0.9991840540465448
R,KNN-5_accuracy,-0.9991840540465446,3.662486968659093e-32,0.9991840540465446
D3,KNN-5_accuracy,-0.9991840540465446,3.662486968659093e-32,0.9991840540465446
N3,KNN-5_accuracy,-0.9981214265134307,3.511514273078398e-28,0.9981214265134307
N1,KNN-5_accuracy,-0.9976392752710351,4.324367573770299e-27,0.9976392752710351
Borderline,KNN-5_accuracy,-0.997110333513199,3.9874443676768994e-26,0.997110333513199
kDN,KNN-5_accuracy,-0.9961049451863888,1.059289952657652e-24,0.9961049451863888
ONB,KNN-5_accuracy,-0.9906334178259034,1.606334183821298e-20,0.9906334178259034
Clust,KNN-5_accuracy,-0.9892462846722359,7.291453040599197e-20,0.9892462846722359
D. Over.,KNN-5_accuracy,-0.9868313894989404,6.695422255801678e-19,0.9868313894989404
N2,KNN-5_accuracy,-0.9393230114785414,1.0666269758508716e-11,0.9393230114785414
F4,KNN-5_accuracy,-0.7233231099964084,6.500436840168912e-05,0.7233231099964084
N4,KNN-5_accuracy,-0.674667417491154,0.0002991673320458097,0.674667417491154
F3,KNN-5_accuracy,-0.6659309169805561,0.000382225927991142,0.6659309169805561
LSC,KNN-5_accuracy,-0.658585957331788,0.0004668496193771592,0.658585957331788
F1,KNN-5_accuracy,-0.5315254776180041,0.007518552711746736,0.5315254776180041
F2,KNN-5_accuracy,-0.5110452823905909,0.01070726774259768,0.5110452823905909
F1v,KNN-5_accuracy,-0.43687226188744643,0.03279657855723782,0.43687226188744643
R,KNN-5_f1,-0.9992011608615403,2.9012657401266396e-32,0.9992011608615403
CM,KNN-5_f1,-0.9992011608615403,2.9012657401266396e-32,0.9992011608615403
D3,KNN-5_f1,-0.9992011608615403,2.9012657401266396e-32,0.9992011608615403
N3,KNN-5_f1,-0.9981374270790333,3.196409184816998e-28,0.9981374270790333
N1,KNN-5_f1,-0.9976140224394996,4.860750683841909e-27,0.9976140224394996
Borderline,KNN-5_f1,-0.9970831346537059,4.419729458738019e-26,0.9970831346537059
kDN,KNN-5_f1,-0.9960743536003462,1.1543234194826776e-24,0.9960743536003462
ONB,KNN-5_f1,-0.9906213072081282,1.6292378397764752e-20,0.9906213072081282
Clust,KNN-5_f1,-0.9892268829553339,7.436807725689405e-20,0.9892268829553339
D. Over.,KNN-5_f1,-0.9867758825163078,7.010694881400437e-19,0.9867758825163078
N2,KNN-5_f1,-0.9393000207060771,1.0709651837467723e-11,0.9393000207060771
F4,KNN-5_f1,-0.7232019138468524,6.52772041754928e-05,0.7232019138468524
N4,KNN-5_f1,-0.6747040111895153,0.0002988554511621825,0.6747040111895153
F3,KNN-5_f1,-0.6657514354271825,0.00038412308508879706,0.6657514354271825
LSC,KNN-5_f1,-0.6584456308127841,0.0004686126513174463,0.6584456308127841
F1,KNN-5_f1,-0.5314916717872691,0.007523075646686691,0.5314916717872691
F2,KNN-5_f1,-0.5109548623510578,0.010723493891106646,0.5109548623510578
F1v,KNN-5_f1,-0.4368647439659846,0.032799925005813156,0.4368647439659846
R,KNN-5_precision,-0.9992485502656125,1.4809093587486553e-32,0.9992485502656125
CM,KNN-5_precision,-0.9992485502656125,1.4809093587486553e-32,0.9992485502656125
D3,KNN-5_precision,-0.9992485502656125,1.4809093587486553e-32,0.9992485502656125
N3,KNN-5_precision,-0.9983590935576234,7.939256305490371e-29,0.9983590935576234
N1,KNN-5_precision,-0.9975283754207952,7.161604636453075e-27,0.9975283754207952
Borderline,KNN-5_precision,-0.9972135082847143,2.674303194824023e-26,0.9972135082847143
kDN,KNN-5_precision,-0.9958703633231505,2.0133908246018718e-24,0.9958703633231505
ONB,KNN-5_precision,-0.9903251690068435,2.290363662363959e-20,0.9903251690068435
Clust,KNN-5_precision,-0.9889972679592045,9.368673270340897e-20,0.9889972679592045
D. Over.,KNN-5_precision,-0.9862992062453163,1.032704449360439e-18,0.9862992062453163
N2,KNN-5_precision,-0.9381594678678846,1.3073002028388638e-11,0.9381594678678846
F4,KNN-5_precision,-0.7220223368962182,6.798560921947533e-05,0.7220223368962182
N4,KNN-5_precision,-0.6729034287285391,0.00031454087621370455,0.6729034287285391
F3,KNN-5_precision,-0.6642598057302025,0.0004002084292229518,0.6642598057302025
LSC,KNN-5_precision,-0.6561797271500812,0.0004978895989097757,0.6561797271500812
F1,KNN-5_precision,-0.5299910534189505,0.007726141075305981,0.5299910534189505
F2,KNN-5_precision,-0.5103760624937007,0.010827843043251335,0.5103760624937007
F1v,KNN-5_precision,-0.4357922480882711,0.03328011575915702,0.4357922480882711
CM,KNN-5_recall,-0.9991840540465448,3.662486968659093e-32,0.9991840540465448
R,KNN-5_recall,-0.9991840540465446,3.662486968659093e-32,0.9991840540465446
D3,KNN-5_recall,-0.9991840540465446,3.662486968659093e-32,0.9991840540465446
N3,KNN-5_recall,-0.9981214265134307,3.511514273078398e-28,0.9981214265134307
N1,KNN-5_recall,-0.9976392752710351,4.324367573770299e-27,0.9976392752710351
Borderline,KNN-5_recall,-0.997110333513199,3.9874443676768994e-26,0.997110333513199
kDN,KNN-5_recall,-0.9961049451863888,1.059289952657652e-24,0.9961049451863888
