,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_balanced_accuracy,SVM-RBF_accuracy,SVM-RBF_f1,SVM-RBF_precision,SVM-RBF_recall,SVM-RBF_balanced_accuracy,SVM-LINEAR_accuracy,SVM-LINEAR_f1,SVM-LINEAR_precision,SVM-LINEAR_recall,SVM-LINEAR_balanced_accuracy,RandomForest_accuracy,RandomForest_f1,RandomForest_precision,RandomForest_recall,RandomForest_balanced_accuracy,KNN-5_accuracy,KNN-5_f1,KNN-5_precision,KNN-5_recall,KNN-5_balanced_accuracy
LogisticRegression_accuracy,0.9663657135076331,0.9987531128582798,-0.26668695792621805,-0.9843196632169299,0.7354092482103478,-0.8014527022270476,-0.4253989594957815,-0.9551374007583106,-0.0844594680096911,-0.9875567375192543,1.0,-0.9795078222236699,-0.5598332514532963,-0.9669304277601668,-0.9811721225512238,0.9993323981089204,-0.9722249176508659,-0.6420202666993489,-0.9404718942450789,-0.9761386987001405,0.9974695314845899,-0.9729757343719947,-0.9220097057050207,-0.9594953664040689,-0.9761625246405565,0.9663657135076333,-0.2666869579262176,0.7354092482103475,-0.4253989594957809,-0.08445946800969015,0.9974725451869798,-0.9717624094389321,-0.7320330215249582,-0.9767191394404555,-0.98560054661968
LogisticRegression_f1,-0.9970504808324984,-0.9870799082486518,0.2760532377289038,0.9993660546691372,-0.8059399803710766,0.8002435663389506,0.47461006300227143,0.9816796765125638,0.06485066640279846,0.9973831559875861,-0.9795078222236699,1.0,0.5693434706861822,0.9907095632256373,0.9994680216355479,-0.9808722171451618,0.9898164122562518,0.6360857215989107,0.9747820438958582,0.9910396180878116,-0.9797772613493185,0.98820216415502,0.943182835629344,0.979233676008965,0.9865971838983216,-0.9970504808324987,0.27605323772890367,-0.8059399803710763,0.47461006300227104,0.06485066640279777,-0.985617972133801,0.9784343267459431,0.716845313957655,0.9954591587455339,0.988188344386155
LogisticRegression_precision,-0.6114134458900234,-0.5822920042204978,-0.3929798183336111,0.5852655451083063,-0.33528751473676327,0.8968089907793936,-0.16219121011522888,0.4949292162653833,-0.5982650120680708,0.5390291152118535,-0.5598332514532963,0.5693434706861822,1.0,0.49879326526211804,0.5454112449636502,-0.5424741251652735,0.677555355293758,0.9600640094396967,0.5774148662127198,0.6603875810475802,-0.6112792078995927,0.43965135417812434,0.4657817208698849,0.4212003324744809,0.43528625882941707,-0.6114134458900237,-0.3929798183336116,-0.33528751473676344,-0.16219121011522905,-0.5982650120680711,-0.5947636592937403,0.714418632697378,0.95960504245411,0.6107976679120429,0.6622713889749589
LogisticRegression_recall,-0.9865721604103517,-0.9743196747219407,0.40211415332975947,0.989462664659731,-0.8700740454151503,0.721027642435346,0.5892879240378361,0.9979328559054537,0.1915739571119643,0.9937773884814944,-0.9669304277601668,0.9907095632256373,0.49879326526211804,1.0,0.9911286175347183,-0.9731879577114219,0.9726957791134228,0.5444790210765101,0.987615822442339,0.9786186669669917,-0.965853501692656,0.9883957787366563,0.9064014823066023,0.9959710024821122,0.9865854099323468,-0.9865721604103521,0.40211415332975947,-0.87007404541515,0.5892879240378357,0.19157395711196365,-0.9661047953410872,0.9482980053678634,0.6405739294585816,0.9903905886590344,0.9639400794519144
LogisticRegression_balanced_accuracy,-0.9942012251604463,-0.9875289424322933,0.2877475368746164,0.9984309449906287,-0.8014894806870027,0.7879904137150171,0.4801717092679925,0.981240339052222,0.081744878188613,0.9980954481043064,-0.9811721225512238,0.9994680216355479,0.5454112449636502,0.9911286175347183,1.0,-0.9827715591540784,0.9851172335386028,0.6183643122904269,0.970462760192712,0.9868086149823958,-0.9791573343058461,0.9924774223304932,0.948467048979556,0.9822903161605889,0.9912761975829459,-0.9942012251604465,0.2877475368746166,-0.8014894806870025,0.4801717092679922,0.08174487818861262,-0.9861378677601557,0.9735955422075123,0.7001130591476281,0.9926474346235562,0.9855366241971635
SVM-RBF_accuracy,0.9675964706104729,0.9982627993350541,-0.30085352627030276,-0.985336630569368,0.756310979150492,-0.7829238223074558,-0.4581395099928889,-0.9631897688264739,-0.11753876833925724,-0.9901171797056489,0.9993323981089204,-0.9808722171451618,-0.5424741251652735,-0.9731879577114219,-0.9827715591540784,1.0,-0.9712264833048152,-0.6193439255692401,-0.9476444173721001,-0.9762947801226599,0.9964148259600534,-0.9768455197279728,-0.9164836604972452,-0.9676525369760789,-0.9798513585604461,0.9675964706104732,-0.3008535262703024,0.7563109791504916,-0.45813950999288827,-0.11753876833925633,0.9952426827559652,-0.9670473077692221,-0.7133217226562812,-0.9789723655402329,-0.9824254890020768
SVM-RBF_f1,-0.9942760500345628,-0.9825375341691194,0.20098872378836743,0.9926250589109347,-0.7889947640694552,0.859805545931021,0.41501325556361324,0.9656589751628069,-0.023035600526885566,0.9840039204600269,-0.9722249176508659,0.9898164122562518,0.677555355293758,0.9726957791134228,0.9851172335386028,-0.9712264833048152,1.0,0.7241585309741468,0.9740909918330075,0.9992366274131148,-0.9818988526170529,0.9571388158986072,0.9118656760183932,0.9498015799325455,0.9551954069521348,-0.9942760500345632,0.20098872378836738,-0.788994764069455,0.4150132555636129,-0.023035600526886222,-0.981839947979561,0.994433353633862,0.8003227689932613,0.9951842787129834,0.9948213275514579
SVM-RBF_precision,-0.6637024575246135,-0.6571347985263101,-0.4798565759069336,0.6492597762420725,-0.25737419664784944,0.9682776225958769,-0.2621872275089723,0.5235478983195593,-0.662228289947032,0.6050886196029699,-0.6420202666993489,0.6360857215989107,0.9600640094396967,0.5444790210765101,0.6183643122904269,-0.6193439255692401,0.7241585309741468,1.0,0.582802901599993,0.7031457349905369,-0.6788131172925812,0.5266646595386961,0.6143239716349048,0.474219387950753,0.5249738184875845,-0.6637024575246139,-0.4798565759069342,-0.2573741966478498,-0.2621872275089723,-0.6622282899470324,-0.6802183163106269,0.7777220632152582,0.9870952957774326,0.6537318399930714,0.733049370182961
SVM-RBF_recall,-0.9812178416949123,-0.9533513095943404,0.39612779518925273,0.9754553795756901,-0.9068211523433983,0.7354573081489013,0.6043476654726839,0.992886332152897,0.1641790473662954,0.9746497592732999,-0.9404718942450789,0.9747820438958582,0.5774148662127198,0.987615822442339,0.970462760192712,-0.9476444173721001,0.9740909918330075,0.582802901599993,1.0,0.9798652791941324,-0.9499562032946677,0.9533162401890344,0.8503890484514052,0.9741812692671128,0.9496183783543803,-0.9812178416949128,0.3961277951892529,-0.9068211523433983,0.6043476654726837,0.16417904736629482,-0.9418252757298189,0.9451694144091592,0.6800328265192427,0.9876955202708517,0.9526477913531741
SVM-RBF_balanced_accuracy,-0.9942130136177919,-0.9856367071840646,0.23600569089463638,0.9941581570414348,-0.804477447891694,0.8427309681926929,0.444398079725618,0.9731551080819796,0.013655731953319658,0.987723769484249,-0.9761386987001405,0.9910396180878116,0.6603875810475802,0.9786186669669917,0.9868086149823958,-0.9762947801226599,0.9992366274131148,0.7031457349905369,0.9798652791941324,1.0,-0.9851617971120576,0.9614131859066866,0.9053676425206045,0.9580805975582993,0.9598396323688092,-0.9942130136177922,0.23600569089463605,-0.8044774478916935,0.44439807972561735,0.013655731953318918,-0.9831206203731152,0.9910560147873557,0.7847531526296647,0.9976432469055828,0.9934929404981075
